Date,Total_Volume
2020-08-24,345937600
2020-01-21,110843200
2020-07-24,185438800
2020-08-05,121776800
2020-04-30,183064000
2020-08-28,187630000
2020-03-13,370732000
2020-09-24,167743300
2020-12-18,192541500
2020-02-04,136616400
2020-02-12,113730400
2020-12-17,94359800
2020-05-08,133838400
2020-01-17,137816400
2020-06-04,87560400
2020-04-29,137280800
2020-10-19,120639300
2020-12-22,168904800
2020-12-30,96452100
2020-04-21,180991600
2020-11-06,114457900
2020-03-09,286744800
2020-03-10,285290000
2020-10-05,106243800
2020-03-11,255598800
2020-06-05,137250400
2020-08-04,173071600
2020-09-04,332607200
2020-02-11,94323200
2020-06-17,114406400
2020-04-13,131022800
2020-07-02,114041600
2020-06-12,200146000
2020-10-29,146129200
2020-06-25,137522400
2020-12-23,88223700
2020-12-21,121251600
2020-08-26,163022400
2020-02-25,230673600
2020-04-14,194994800
2020-08-07,198045600
2020-10-13,262330500
2020-12-09,115089200
2020-11-27,46691300
2020-09-17,178011000
2020-07-21,103433200
2020-11-16,91183000
2020-09-03,257599600
2020-09-16,154679000
2020-11-09,154515300
2020-04-06,201820400
2020-08-13,210082000
2020-08-20,126907200
2020-12-16,98208600
2020-06-15,138808800
2020-04-23,124814400
2020-05-19,101729600
2020-10-30,190272600
2020-06-10,166651600
2020-11-19,74113000
2020-02-21,129554000
2020-05-06,142333600
2020-12-24,54930100
2020-05-21,102688800
2020-01-10,140644800
2020-03-03,319475600
2020-02-27,320605600
2020-04-20,130015200
2020-07-29,90329200
2020-11-05,126387100
2020-01-24,146537600
2020-02-19,93984000
2020-10-09,100506900
2020-04-09,161834800
2020-07-28,103625600
2020-11-10,138023400
2020-04-17,215250000
2020-08-12,165598000
2020-03-05,187572800
2020-03-06,226176800
2020-10-06,161498200
2020-10-28,143937800
2020-06-18,96820400
2020-03-25,303602000
2020-09-01,151948100
2020-11-02,122866900
2020-09-09,176940500
2020-05-27,112945200
2020-11-17,74271000
2020-05-12,162301200
2020-07-31,374336800
2020-10-16,115393800
2020-12-03,78967600
2020-12-10,81312200
2020-07-23,197004400
2020-11-24,113874200
2020-03-02,341397200
2020-01-13,121532000
2020-04-24,126161200
2020-06-16,165428800
2020-08-25,211495600
2020-12-02,89004200
2020-01-28,162234000
2020-04-28,112004800
2020-01-22,101832400
2020-10-12,240226800
2020-06-09,147712400
2020-01-03,146322800
2020-01-07,108872000
2020-05-04,133568000
2020-11-18,76322100
2020-04-03,129880000
2020-07-16,110577600
2020-03-30,167976400
2020-06-22,135445200
2020-04-27,117087600
2020-11-04,138235500
2020-09-11,180860300
2020-12-15,157243700
2020-01-06,118387200
2020-02-20,100566000
2020-04-15,131154400
2020-05-11,145946400
2020-06-24,192623200
2020-09-22,183055400
2020-09-25,149981400
2020-03-17,324056000
2020-07-17,92186800
2020-02-10,109348800
2020-03-27,204216800
2020-07-07,112424400
2020-11-20,73604300
2020-09-18,287104900
2020-09-28,137672400
2020-12-28,124486200
2020-02-05,118826800
2020-02-24,222195200
2020-05-05,147751200
2020-08-11,187902400
2020-07-10,90257200
2020-04-07,202887200
2020-05-14,158929200
2020-08-10,212403600
2020-12-04,78260400
2020-10-15,112559200
2020-06-08,95654400
2020-09-08,231366600
2020-01-27,161940000
2020-02-06,105425600
2020-03-12,418474000
2020-07-08,117092000
2020-11-03,107624400
2020-01-30,126743200
2020-03-19,271857200
2020-06-23,212155600
2020-05-01,240616800
2020-03-16,322423600
2020-12-01,127728200
2020-05-20,111504800
2020-11-11,112295000
2020-02-18,152531200
2020-04-01,176218400
2020-03-26,252087200
2020-06-11,201662400
2020-07-01,110737200
2020-05-28,133560800
2020-01-23,104472000
2020-09-29,99382200
2020-11-12,103162300
2020-12-08,82225500
2020-03-31,197002000
2020-01-16,108829200
2020-05-13,200622400
2020-11-13,81581900
2020-01-02,135480400
2020-06-26,205256800
2020-03-20,401693200
2020-10-08,83477200
2020-10-14,150712000
2020-10-22,101988000
2020-12-29,121047300
2020-09-30,142675200
2020-01-09,170108400
2020-01-31,199588400
2020-10-07,96849000
2020-03-23,336752800
2020-05-07,115215200
2020-10-02,144712000
2020-01-15,121923600
2020-08-03,308151200
2020-04-16,157125200
2020-06-03,104491200
2020-02-13,94747600
2020-08-17,119561600
2020-08-21,338054800
2020-09-14,140150100
2020-02-14,80113600
2020-07-15,153198000
2020-08-19,145538000
2020-12-14,79184500
2020-08-27,155552400
2020-02-28,426510000
2020-08-18,105633600
2020-09-21,195713800
2020-03-04,219178400
2020-09-15,184642000
2020-07-22,89001600
2020-05-29,153532400
2020-04-08,168895200
2020-07-09,125642800
2020-07-13,191649200
2020-08-14,165565200
2020-09-23,150718700
2020-10-21,89946000
2020-02-26,198054800
2020-03-24,287531200
2020-04-02,165934000
2020-11-25,76499200
2020-01-14,161954400
2020-07-06,118655600
2020-10-01,116120400
2020-01-08,132079200
2020-07-14,170989200
2020-07-27,121214000
2020-06-19,264476000
2020-02-03,173788400
2020-03-18,300233600
2020-06-02,87642800
2020-07-20,90318000
2020-01-29,216229200
2020-02-07,117684000
2020-05-15,166348400
2020-05-26,125522000
2020-10-23,82572600
2020-11-30,169410200
2020-12-07,86712000
2020-10-27,92276800
2020-08-31,225702700
2020-09-10,182274400
2020-10-26,111850700
2020-12-11,86939800
2020-07-30,158130000
2020-09-02,200119000
2020-11-23,127959300
2020-06-29,130646000
2020-06-01,80791200
2020-04-22,116862400
2020-05-22,81803200
2020-08-06,202428800
2020-05-18,135178400
2020-06-30,140223200
2020-10-20,124423700
